iter	Passed	Remaining
0	57	57006
1	57	28666
2	57	19186
3	58	14450
4	58	11595
5	58	9705
6	58	8353
7	59	7330
8	59	6536
9	59	5902
10	59	5381
11	60	4945
12	60	4577
13	60	4262
14	60	3989
15	61	3752
16	61	3542
17	61	3354
18	61	3185
19	61	3034
20	62	2897
21	62	2773
22	62	2660
23	62	2555
24	63	2459
25	63	2370
26	63	2287
27	63	2210
28	63	2139
29	64	2074
30	64	2009
31	64	1951
32	64	1896
33	64	1842
34	65	1793
35	65	1748
36	65	1704
37	65	1664
38	65	1625
39	66	1587
40	66	1551
41	66	1519
42	66	1486
43	67	1457
44	67	1426
45	67	1399
46	67	1372
47	67	1346
48	68	1321
49	68	1297
50	68	1274
51	68	1253
52	68	1232
53	69	1211
54	69	1190
55	69	1170
56	69	1151
57	69	1132
58	69	1115
59	70	1098
60	70	1083
61	70	1067
62	70	1052
63	70	1037
64	71	1022
65	71	1009
66	71	996
67	71	983
68	71	970
69	72	958
70	72	946
71	72	934
72	72	923
73	72	912
74	73	901
75	73	890
76	73	880
77	73	870
78	73	860
79	74	851
80	74	842
81	74	833
82	74	824
83	74	816
84	75	807
85	75	800
86	75	792
87	75	784
88	75	777
89	76	769
90	76	762
91	76	754
92	76	747
93	76	740
94	76	733
95	77	726
96	77	719
97	77	713
98	77	706
99	77	700
100	77	693
101	78	687
102	78	681
103	78	675
104	78	670
105	78	664
106	78	659
107	79	653
108	79	648
109	79	643
110	79	637
111	79	632
112	79	627
113	80	622
114	80	617
115	80	613
116	80	608
117	80	603
118	80	598
119	81	594
120	81	590
121	81	585
122	81	581
123	81	577
124	81	573
125	82	569
126	82	564
127	82	560
128	82	557
129	82	553
130	82	549
131	83	545
132	83	542
133	83	538
134	83	534
135	83	531
136	83	528
137	83	524
138	84	521
139	84	517
140	84	514
141	84	511
142	84	508
143	84	504
144	85	501
145	85	498
146	85	495
147	85	492
148	85	489
149	85	486
150	86	483
151	86	480
152	86	478
153	86	475
154	86	472
155	86	469
156	87	467
157	87	464
158	87	462
159	87	459
160	87	457
161	87	454
162	88	452
163	88	449
164	88	447
165	88	444
166	88	442
167	88	440
168	89	438
169	89	436
170	89	434
171	89	432
172	89	429
173	90	427
174	90	425
175	90	423
176	90	421
177	90	419
178	91	417
179	91	415
180	91	413
181	91	411
182	91	409
183	91	407
184	92	405
185	92	403
186	92	401
187	92	399
188	92	397
189	92	395
190	92	393
191	93	391
192	93	389
193	93	387
194	93	385
195	93	384
196	93	382
197	94	380
198	94	378
199	94	377
200	94	375
201	94	373
202	94	371
203	94	370
204	95	368
205	95	367
206	95	365
207	95	363
208	95	362
209	95	360
210	96	359
211	96	357
212	96	356
213	96	354
214	96	353
215	96	351
216	97	350
217	97	348
218	97	347
219	97	345
220	97	344
221	97	342
222	97	341
223	98	339
224	98	338
225	98	337
226	98	335
227	98	334
228	98	333
229	99	331
230	99	330
231	99	329
232	99	327
233	99	326
234	99	325
235	100	323
236	100	322
237	100	321
238	100	320
239	100	319
240	100	317
241	101	316
242	101	315
243	101	314
244	101	313
245	101	311
246	101	310
247	102	309
248	102	308
249	102	307
250	102	306
251	102	305
252	102	303
253	103	302
254	103	301
255	103	300
256	103	299
257	103	298
258	103	297
259	104	296
260	104	295
261	104	293
262	104	292
263	104	291
264	104	290
265	105	289
266	105	288
267	105	287
268	105	286
269	105	285
270	105	284
271	106	283
272	106	282
273	106	281
274	106	280
275	106	279
276	106	278
277	107	277
278	107	276
279	107	276
280	107	275
281	107	274
282	107	273
283	107	272
284	108	271
285	108	270
286	108	269
287	108	268
288	108	267
289	109	267
290	109	266
291	109	265
292	109	264
293	109	263
294	109	262
295	110	261
296	110	260
297	110	260
298	110	259
299	110	258
300	110	257
301	111	256
302	111	255
303	111	254
304	111	253
305	111	253
306	111	252
307	111	251
308	112	250
309	112	249
310	112	249
311	112	248
312	112	247
313	112	246
314	113	245
315	113	245
316	113	244
317	113	243
318	113	242
319	113	242
320	114	241
321	114	240
322	114	239
323	114	238
324	114	238
325	114	237
326	115	236
327	115	235
328	115	235
329	115	234
330	115	233
331	115	232
332	115	232
333	116	231
334	116	230
335	116	230
336	116	229
337	116	228
338	116	227
339	117	227
340	117	226
341	117	225
342	117	225
343	117	224
344	117	223
345	118	223
346	118	222
347	118	222
348	118	221
349	118	220
350	119	220
351	119	219
352	119	219
353	119	218
354	119	217
355	120	217
356	120	216
357	120	216
358	120	215
359	120	214
360	121	214
361	121	213
362	121	213
363	121	212
364	121	211
365	121	211
366	121	210
